door_name,flywire_glomerulus,mapping_pathway,source_name,source_year,source_url_or_doi,evidence_note,confidence,is_ambiguous,life_stage,is_larval,receptor_genes
Or22a,ORN_DM2,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or22b,ORN_DM2,manual_override,DoOR 2.0 receptor→glomerulus mapping (Münch & Galizia 2016),2016,10.1038/srep21841,Mapped at glomerulus level (DM2). Note: FlyWire ORN_ labels are glomerulus-level; Or22a/Or22b gene-level distinction is not captured in ORN_DM2. Optional strict single-cell mode can exclude Or22b as sensitivity analysis.,medium,No,Adult,No,
Or22c,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or23a,ORN_DA3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or24a,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or2a,ORN_DA4m,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or30a,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or33a,ORN_DA2,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or33b,ORN_DM3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Ambiguous DoOR glomerulus code 'DM5+DM3' expanded to candidates.,ambiguous,Yes,Adult,No,
Or33b,ORN_DM5,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Ambiguous DoOR glomerulus code 'DM5+DM3' expanded to candidates.,ambiguous,Yes,Adult,No,
Or33c,ORN_VC1,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or35a,ORN_VC3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or42a,ORN_VM7d,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or42b,ORN_DM1,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or43a,ORN_DA4l,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or43b,ORN_VM2,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or45a,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or45b,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or46a,ORN_VA7l,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or47a,ORN_DM3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or47b,ORN_VA1v,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or49a,ORN_DL4,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or49b,ORN_VA5,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or59a,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or59b,ORN_DM4,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or59c,ORN_VM7v,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or65a,ORN_DL3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or67a,ORN_DM6,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or67b,ORN_VA3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or67c,ORN_VC4,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or67d,ORN_DA1,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or69a,ORN_D,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or71a,ORN_VC2,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or74a,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or7a,ORN_DL5,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or82a,ORN_VA6,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or83c,ORN_DC3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or85a,ORN_DM5,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or85b,ORN_VM5d,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or85c,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or85d,ORN_VA4,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or85e,ORN_VC1,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or85f,ORN_DL4,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or88a,ORN_VA1d,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or92a,ORN_VA2,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or94a,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or94b,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
Or98a,ORN_VM5v,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or9a,ORN_VM3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
ab2B,ORN_DM5,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
ab4B,ORN_DA2,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
ab5B,ORN_DM3,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
ac1,ORN_VL1,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac1 sensillum responses; glomerulus candidates VL1+VM1+VL2p (Silbering et al. 2011 cited in DoOR).,ambiguous,Yes,Adult,No,
ac1,ORN_VL2p,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac1 sensillum responses; glomerulus candidates VL1+VM1+VL2p (Silbering et al. 2011 cited in DoOR).,ambiguous,Yes,Adult,No,
ac1,ORN_VM1,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac1 sensillum responses; glomerulus candidates VL1+VM1+VL2p (Silbering et al. 2011 cited in DoOR).,ambiguous,Yes,Adult,No,
ac1A,,unmapped,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,DoOR.mappings glomerulus: ?,unknown,No,Adult,No,
ac1B,,unmapped,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,DoOR.mappings glomerulus: ?,unknown,No,Adult,No,
ac1BC,,unmapped,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,"DoOR.mappings glomerulus: ? | summed responses from ac1B and C ORNs, only A neuron could be separated (Marshall et al. 2010)",unknown,No,Adult,No,
ac2,ORN_DP1l,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac2 sensillum responses; glomerulus candidates VL1+DP1l+VC5 (Silbering et al. 2011 cited in DoOR).,ambiguous,Yes,Adult,No,
ac2,ORN_VC5,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac2 sensillum responses; glomerulus candidates VL1+DP1l+VC5 (Silbering et al. 2011 cited in DoOR).,ambiguous,Yes,Adult,No,
ac2,ORN_VL1,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac2 sensillum responses; glomerulus candidates VL1+DP1l+VC5 (Silbering et al. 2011 cited in DoOR).,ambiguous,Yes,Adult,No,
ac2A,,unmapped,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,DoOR.mappings glomerulus: ?,unknown,No,Adult,No,
ac2B,,unmapped,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,DoOR.mappings glomerulus: ?,unknown,No,Adult,No,
ac2BC,,unmapped,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,"DoOR.mappings glomerulus: ? | summed responses from ac2B and C ORNs, only A neuron could be separated (Marshall et al. 2010)",unknown,No,Adult,No,
ac3A,ORN_DL2d,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: ac3A maps to DL2d/v (ambiguous between DL2d and DL2v).,ambiguous,Yes,Adult,No,Ir75a;Ir75b;Ir75c
ac3A,ORN_DL2v,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: ac3A maps to DL2d/v (ambiguous between DL2d and DL2v).,ambiguous,Yes,Adult,No,Ir75a;Ir75b;Ir75c
ac3B,ORN_VC3,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: ac3B glomerulus VC3; Or35a.,high,No,Adult,No,Or35a
ac3_noOr35a,ORN_DL2d,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac3 (Or35a knockdown) maps to DL2d/v+VC3 (ambiguous).,ambiguous,Yes,Adult,No,
ac3_noOr35a,ORN_DL2v,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac3 (Or35a knockdown) maps to DL2d/v+VC3 (ambiguous).,ambiguous,Yes,Adult,No,
ac3_noOr35a,ORN_VC3,sensillum_reference,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,DoOR.mappings: pooled ac3 (Or35a knockdown) maps to DL2d/v+VC3 (ambiguous).,ambiguous,Yes,Adult,No,
ac4,,unmapped,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,"DoOR.mappings glomerulus: ? | summed responses, individual ORNs could not be separated (Silbering et al. 2011)",unknown,No,Adult,No,
pb2A,ORN_VC1,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
