receptor_name,is_mapped,flywire_glomerulus,life_stage,is_larval,status,notes,mapping_source,n_orns,n_pns_reached,pct_pns_reached,total_synapses_to_pns,n_kcs_reached,pct_kcs_reached,pathway_intact
Or47b,Yes,ORN_VA1v,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],98,35,4.161712247324614,12.364999,87,14.30921052631579,True
Or49a,Yes,ORN_DL4,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],52,3,0.356718192627824,1.9537402,7,1.1513157894736843,True
Or49b,Yes,ORN_VA5,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],11,9,1.070154577883472,5.481132,36,5.921052631578948,True
Or59a,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or59b,Yes,ORN_DM4,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],46,7,0.8323424494649228,1.9283783,87,14.30921052631579,True
Or59c,Yes,ORN_VM7v,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],35,11,1.3079667063020215,3.418472,132,21.710526315789476,True
Or65a,Yes,ORN_DL3,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or67a,Yes,ORN_DM6,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],52,10,1.1890606420927468,5.4047856,88,14.473684210526317,True
Or67b,Yes,ORN_VA3,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],30,10,1.1890606420927468,3.610195,122,20.06578947368421,True
Or67c,Yes,ORN_VC4,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],23,9,1.070154577883472,4.6612296,30,4.934210526315789,True
Or67d,Yes,ORN_DA1,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],125,30,3.56718192627824,11.35829,66,10.855263157894736,True
Or69a,Yes,ORN_D,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],33,16,1.9024970273483948,5.840265,43,7.072368421052632,True
Or71a,Yes,ORN_VC2,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],29,8,0.9512485136741974,1.9024013,113,18.585526315789476,True
Or74a,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or7a,Yes,ORN_DL5,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],50,6,0.713436385255648,1.9879066,27,4.440789473684211,True
Or82a,Yes,ORN_VA6,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],61,8,0.9512485136741974,2.0413942,63,10.361842105263158,True
Or83c,Yes,ORN_DC3,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],32,28,3.329369797859691,4.769362,88,14.473684210526317,True
Or85a,Yes,ORN_DM5,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],44,5,0.5945303210463734,3.9001813,53,8.717105263157896,True
Or85b,Yes,ORN_VM5d,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],72,14,1.6646848989298455,6.696563,98,16.11842105263158,True
Or85c,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or85d,Yes,ORN_VA4,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],30,2,0.2378121284185493,1.7613065,73,12.00657894736842,True
Or85e,Yes,ORN_VC1,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],33,8,0.9512485136741974,1.9701492,70,11.513157894736842,True
Or85f,Yes,ORN_DL4,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],52,3,0.356718192627824,1.9537402,7,1.1513157894736843,True
Or88a,Yes,ORN_VA1d,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],90,26,3.091557669441141,6.5429263,34,5.592105263157895,True
Or92a,Yes,ORN_VA2,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],86,7,0.8323424494649228,1.8396331,85,13.980263157894736,True
Or94a,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or94b,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or98a,Yes,ORN_VM5v,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],24,11,1.3079667063020215,5.4413705,38,6.25,True
Or9a,Yes,ORN_VM3,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],39,4,0.4756242568370987,3.1059957,63,10.361842105263158,True
ab2B,Yes,ORN_DM5,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ab4B,Yes,ORN_DA2,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ab5B,Yes,ORN_DM3,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac1,No,,Adult,No,Ambiguous (Adult - exclude or resolve),"DoOR.mappings: pooled ac1 sensillum responses; glomerulus candidates VL1+VM1+VL2p (Silbering et al. 2011 cited in DoOR). | Candidates: ORN_VL1, ORN_VL2p, ORN_VM1",DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac1A,No,,Adult,No,Unmapped (Adult - NEEDS MAPPING),TODO: DoOR.mappings glomerulus: ?,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac1B,No,,Adult,No,Unmapped (Adult - NEEDS MAPPING),TODO: DoOR.mappings glomerulus: ?,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac1BC,No,,Adult,No,Unmapped (Adult - NEEDS MAPPING),"TODO: DoOR.mappings glomerulus: ? | summed responses from ac1B and C ORNs, only A neuron could be separated (Marshall et al. 2010)",DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac2,No,,Adult,No,Ambiguous (Adult - exclude or resolve),"DoOR.mappings: pooled ac2 sensillum responses; glomerulus candidates VL1+DP1l+VC5 (Silbering et al. 2011 cited in DoOR). | Candidates: ORN_DP1l, ORN_VC5, ORN_VL1",DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac2A,No,,Adult,No,Unmapped (Adult - NEEDS MAPPING),TODO: DoOR.mappings glomerulus: ?,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac2B,No,,Adult,No,Unmapped (Adult - NEEDS MAPPING),TODO: DoOR.mappings glomerulus: ?,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac2BC,No,,Adult,No,Unmapped (Adult - NEEDS MAPPING),"TODO: DoOR.mappings glomerulus: ? | summed responses from ac2B and C ORNs, only A neuron could be separated (Marshall et al. 2010)",DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac3A,No,,Adult,No,Ambiguous (Adult - exclude or resolve),"DoOR.mappings: ac3A maps to DL2d/v (ambiguous between DL2d and DL2v). | Candidates: ORN_DL2d, ORN_DL2v",DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac3B,Yes,ORN_VC3,Adult,No,Mapped (Adult),DoOR.mappings: ac3B glomerulus VC3; Or35a.,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac3_noOr35a,No,,Adult,No,Ambiguous (Adult - exclude or resolve),"DoOR.mappings: pooled ac3 (Or35a knockdown) maps to DL2d/v+VC3 (ambiguous). | Candidates: ORN_DL2d, ORN_DL2v, ORN_VC3",DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
ac4,No,,Adult,No,Unmapped (Adult - NEEDS MAPPING),"TODO: DoOR.mappings glomerulus: ? | summed responses, individual ORNs could not be separated (Silbering et al. 2011)",DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
pb2A,Yes,ORN_VC1,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
